league,month,total,correct,hitRate
"BL1","2023-10",14,10,"0.714"
"BL1","2023-11",5,3,"0.600"
"BL1","2023-12",10,8,"0.800"
"BL1","2024-01",8,3,"0.375"
"BL1","2024-02",9,4,"0.444"
"BL1","2024-03",12,8,"0.667"
"BL1","2024-04",9,7,"0.778"
"BL1","2024-05",6,5,"0.833"
"BL1","2024-10",7,3,"0.429"
"BL1","2024-11",8,7,"0.875"
"BL1","2024-12",9,6,"0.667"
"BL1","2025-01",9,7,"0.778"
"BL1","2025-02",11,5,"0.455"
"BL1","2025-03",8,2,"0.250"
"BL1","2025-04",8,5,"0.625"
"BL1","2025-05",5,4,"0.800"
"BL1","2025-10",10,7,"0.700"
"BL1","2025-11",9,8,"0.889"
"BL1","2025-12",3,1,"0.333"
"BL1","2026-01",11,7,"0.636"
"BL1","2026-02",9,6,"0.667"
"BL1","2026-03",8,7,"0.875"
"BL1","2026-04",8,6,"0.750"
"BL1","2026-05",8,3,"0.375"
"CH","2023-09",3,3,"1.000"
"CH","2023-10",7,6,"0.857"
"CH","2023-11",6,5,"0.833"
"CH","2023-12",6,5,"0.833"
"CH","2024-01",5,4,"0.800"
"CH","2024-02",12,6,"0.500"
"CH","2024-03",9,7,"0.778"
"CH","2024-04",11,5,"0.455"
"CH","2024-05",2,1,"0.500"
"CH","2024-09",5,5,"1.000"
"CH","2024-10",6,3,"0.500"
"CH","2024-11",7,6,"0.857"
"CH","2024-12",4,2,"0.500"
"CH","2025-01",6,2,"0.333"
"CH","2025-02",5,4,"0.800"
"CH","2025-03",7,4,"0.571"
"CH","2025-04",2,2,"1.000"
"CH","2025-05",2,2,"1.000"
"CH","2025-09",1,0,"0.000"
"CH","2025-10",2,2,"1.000"
"CH","2025-11",1,1,"1.000"
"CH","2025-12",2,1,"0.500"
"CH","2026-01",3,1,"0.333"
"CH","2026-02",4,3,"0.750"
"CH","2026-03",5,3,"0.600"
"CH","2026-04",6,4,"0.667"
"CZE1","2023-08",1,1,"1.000"
"CZE1","2023-09",6,6,"1.000"
"CZE1","2023-10",7,3,"0.429"
"CZE1","2023-11",5,4,"0.800"
"CZE1","2023-12",7,5,"0.714"
"CZE1","2024-02",6,4,"0.667"
"CZE1","2024-03",5,4,"0.800"
"CZE1","2024-04",5,2,"0.400"
"CZE1","2024-05",6,4,"0.667"
"CZE1","2024-08",1,0,"0.000"
"CZE1","2024-09",6,3,"0.500"
"CZE1","2024-10",4,3,"0.750"
"CZE1","2024-11",3,3,"1.000"
"CZE1","2024-12",7,5,"0.714"
"CZE1","2025-02",6,5,"0.833"
"CZE1","2025-03",5,4,"0.800"
"CZE1","2025-04",7,7,"1.000"
"CZE1","2025-05",5,4,"0.800"
"CZE1","2025-08",1,1,"1.000"
"CZE1","2025-09",2,2,"1.000"
"CZE1","2025-10",4,2,"0.500"
"CZE1","2025-11",6,4,"0.667"
"CZE1","2025-12",1,1,"1.000"
"CZE1","2026-02",4,4,"1.000"
"CZE1","2026-03",2,1,"0.500"
"CZE1","2026-04",4,3,"0.750"
"EL1","2023-09",10,4,"0.400"
"EL1","2023-10",12,8,"0.667"
"EL1","2023-11",7,6,"0.857"
"EL1","2023-12",12,5,"0.417"
"EL1","2024-01",8,6,"0.750"
"EL1","2024-02",7,3,"0.429"
"EL1","2024-03",12,8,"0.667"
"EL1","2024-04",13,8,"0.615"
"EL1","2024-05",2,1,"0.500"
"EL1","2024-09",8,4,"0.500"
"EL1","2024-10",9,7,"0.778"
"EL1","2024-11",3,1,"0.333"
"EL1","2024-12",12,5,"0.417"
"EL1","2025-01",14,9,"0.643"
"EL1","2025-02",12,9,"0.750"
"EL1","2025-03",7,3,"0.429"
"EL1","2025-04",12,6,"0.500"
"EL1","2025-05",2,1,"0.500"
"EL1","2025-09",6,3,"0.500"
"EL1","2025-10",7,5,"0.714"
"EL1","2025-11",3,1,"0.333"
"EL1","2025-12",6,3,"0.500"
"EL1","2026-01",5,3,"0.600"
"EL1","2026-02",8,6,"0.750"
"EL1","2026-03",13,6,"0.462"
"EL1","2026-04",14,10,"0.714"
"EL1","2026-05",1,1,"1.000"
"ERD","2023-09",6,5,"0.833"
"ERD","2023-10",5,5,"1.000"
"ERD","2023-11",6,3,"0.500"
"ERD","2023-12",8,5,"0.625"
"ERD","2024-01",6,4,"0.667"
"ERD","2024-02",8,7,"0.875"
"ERD","2024-03",13,11,"0.846"
"ERD","2024-04",9,7,"0.778"
"ERD","2024-05",8,7,"0.875"
"ERD","2024-09",2,1,"0.500"
"ERD","2024-10",8,8,"1.000"
"ERD","2024-11",7,4,"0.571"
"ERD","2024-12",9,7,"0.778"
"ERD","2025-01",7,4,"0.571"
"ERD","2025-02",11,6,"0.545"
"ERD","2025-03",7,4,"0.571"
"ERD","2025-04",7,5,"0.714"
"ERD","2025-05",10,7,"0.700"
"ERD","2025-09",4,3,"0.750"
"ERD","2025-10",9,6,"0.667"
"ERD","2025-11",5,2,"0.400"
"ERD","2025-12",7,4,"0.571"
"ERD","2026-01",11,5,"0.455"
"ERD","2026-02",7,5,"0.714"
"ERD","2026-03",3,2,"0.667"
"ERD","2026-04",4,3,"0.750"
"ERD","2026-05",6,4,"0.667"
"F2","2023-09",3,1,"0.333"
"F2","2023-10",5,1,"0.200"
"F2","2023-11",3,2,"0.667"
"F2","2023-12",1,1,"1.000"
"F2","2024-01",4,2,"0.500"
"F2","2024-02",2,2,"1.000"
"F2","2024-03",1,0,"0.000"
"F2","2024-04",5,5,"1.000"
"F2","2024-05",2,2,"1.000"
"F2","2024-09",2,2,"1.000"
"F2","2024-10",6,4,"0.667"
"F2","2024-11",3,1,"0.333"
"F2","2024-12",2,2,"1.000"
"F2","2025-01",4,0,"0.000"
"F2","2025-02",6,4,"0.667"
"F2","2025-03",4,4,"1.000"
"F2","2025-04",7,4,"0.571"
"F2","2025-05",2,2,"1.000"
"F2","2025-09",3,1,"0.333"
"F2","2025-10",3,1,"0.333"
"F2","2026-02",2,0,"0.000"
"F2","2026-04",1,0,"0.000"
"F2","2026-05",1,1,"1.000"
"L1","2023-09",2,2,"1.000"
"L1","2023-10",3,3,"1.000"
"L1","2023-11",1,1,"1.000"
"L1","2023-12",4,4,"1.000"
"L1","2024-01",2,2,"1.000"
"L1","2024-02",3,2,"0.667"
"L1","2024-03",4,2,"0.500"
"L1","2024-04",4,2,"0.500"
"L1","2024-05",4,3,"0.750"
"L1","2024-09",3,2,"0.667"
"L1","2024-10",4,3,"0.750"
"L1","2024-11",6,4,"0.667"
"L1","2024-12",1,1,"1.000"
"L1","2025-01",5,3,"0.600"
"L1","2025-02",5,4,"0.800"
"L1","2025-03",6,4,"0.667"
"L1","2025-04",6,5,"0.833"
"L1","2025-05",3,2,"0.667"
"L1","2025-10",3,2,"0.667"
"L1","2025-11",1,1,"1.000"
"L1","2025-12",1,1,"1.000"
"L1","2026-01",2,1,"0.500"
"L1","2026-02",2,1,"0.500"
"L1","2026-03",2,2,"1.000"
"L1","2026-04",3,1,"0.333"
"L1","2026-05",4,1,"0.250"
"LL","2023-09",6,5,"0.833"
"LL","2023-10",8,8,"1.000"
"LL","2023-11",8,7,"0.875"
"LL","2023-12",8,7,"0.875"
"LL","2024-01",12,8,"0.667"
"LL","2024-02",8,5,"0.625"
"LL","2024-03",6,4,"0.667"
"LL","2024-04",6,4,"0.667"
"LL","2024-05",12,7,"0.583"
"LL","2024-09",8,6,"0.750"
"LL","2024-10",4,3,"0.750"
"LL","2024-11",5,4,"0.800"
"LL","2024-12",9,7,"0.778"
"LL","2025-01",5,3,"0.600"
"LL","2025-02",8,6,"0.750"
"LL","2025-03",11,8,"0.727"
"LL","2025-04",9,5,"0.556"
"LL","2025-05",9,6,"0.667"
"LL","2025-09",3,2,"0.667"
"LL","2025-10",3,2,"0.667"
"LL","2025-11",7,6,"0.857"
"LL","2025-12",5,4,"0.800"
"LL","2026-01",4,4,"1.000"
"LL","2026-02",7,7,"1.000"
"LL","2026-03",7,5,"0.714"
"LL","2026-04",4,4,"1.000"
"LL","2026-05",2,1,"0.500"
"MX1","2023-09",5,2,"0.400"
"MX1","2023-10",5,4,"0.800"
"MX1","2023-11",2,2,"1.000"
"MX1","2023-12",1,0,"0.000"
"MX1","2024-01",4,3,"0.750"
"MX1","2024-02",3,3,"1.000"
"MX1","2024-03",5,3,"0.600"
"MX1","2024-04",1,0,"0.000"
"MX1","2024-05",3,1,"0.333"
"MX1","2024-09",6,5,"0.833"
"MX1","2024-10",5,5,"1.000"
"MX1","2024-11",6,4,"0.667"
"MX1","2025-01",10,6,"0.600"
"MX1","2025-02",11,7,"0.636"
"MX1","2025-03",8,6,"0.750"
"MX1","2025-04",3,3,"1.000"
"MX1","2025-05",1,1,"1.000"
"MX1","2025-09",8,5,"0.625"
"MX1","2025-10",5,5,"1.000"
"MX1","2025-11",6,3,"0.500"
"MX1","2025-12",1,1,"1.000"
"MX1","2026-01",5,4,"0.800"
"MX1","2026-02",2,2,"1.000"
"MX1","2026-03",5,4,"0.800"
"MX1","2026-04",8,2,"0.250"
"MX1","2026-05",1,1,"1.000"
"NOR1","2023-05",5,5,"1.000"
"NOR1","2023-06",3,2,"0.667"
"NOR1","2023-07",11,8,"0.727"
"NOR1","2023-08",6,4,"0.667"
"NOR1","2023-09",4,2,"0.500"
"NOR1","2023-10",3,1,"0.333"
"NOR1","2023-11",3,3,"1.000"
"NOR1","2023-12",2,1,"0.500"
"NOR1","2024-05",6,3,"0.500"
"NOR1","2024-06",1,1,"1.000"
"NOR1","2024-07",2,2,"1.000"
"NOR1","2024-08",2,1,"0.500"
"NOR1","2024-09",3,3,"1.000"
"NOR1","2024-10",3,1,"0.333"
"NOR1","2024-11",5,4,"0.800"
"NOR1","2024-12",1,1,"1.000"
"NOR1","2025-05",5,3,"0.600"
"NOR1","2025-06",2,1,"0.500"
"NOR1","2025-07",7,7,"1.000"
"NOR1","2025-08",5,2,"0.400"
"NOR1","2025-09",1,1,"1.000"
"NOR1","2025-10",4,4,"1.000"
"NOR1","2025-11",5,4,"0.800"
"PL","2023-09",5,5,"1.000"
"PL","2023-10",6,5,"0.833"
"PL","2023-11",4,3,"0.750"
"PL","2023-12",8,6,"0.750"
"PL","2024-01",2,1,"0.500"
"PL","2024-02",5,4,"0.800"
"PL","2024-03",1,1,"1.000"
"PL","2024-04",6,4,"0.667"
"PL","2024-05",7,6,"0.857"
"PL","2024-10",4,3,"0.750"
"PL","2024-11",4,2,"0.500"
"PL","2024-12",7,4,"0.571"
"PL","2025-01",8,7,"0.875"
"PL","2025-02",4,2,"0.500"
"PL","2025-03",3,3,"1.000"
"PL","2025-04",9,6,"0.667"
"PL","2025-05",1,1,"1.000"
"PL","2025-09",1,1,"1.000"
"PL","2025-10",2,2,"1.000"
"PL","2025-11",2,2,"1.000"
"PL","2025-12",9,6,"0.667"
"PL","2026-01",5,3,"0.600"
"PL","2026-02",4,3,"0.750"
"PL","2026-03",4,2,"0.500"
"PL","2026-04",2,2,"1.000"
"PL","2026-05",3,3,"1.000"
"POR","2023-09",2,2,"1.000"
"POR","2023-10",3,2,"0.667"
"POR","2023-11",2,1,"0.500"
"POR","2023-12",5,4,"0.800"
"POR","2024-01",5,4,"0.800"
"POR","2024-02",5,4,"0.800"
"POR","2024-03",7,7,"1.000"
"POR","2024-04",6,4,"0.667"
"POR","2024-05",5,5,"1.000"
"POR","2024-09",6,5,"0.833"
"POR","2024-10",5,5,"1.000"
"POR","2024-11",5,3,"0.600"
"POR","2024-12",9,7,"0.778"
"POR","2025-01",4,3,"0.750"
"POR","2025-02",7,5,"0.714"
"POR","2025-03",4,4,"1.000"
"POR","2025-04",5,4,"0.800"
"POR","2025-05",4,2,"0.500"
"POR","2025-09",2,0,"0.000"
"POR","2025-10",4,3,"0.750"
"POR","2025-11",7,5,"0.714"
"POR","2025-12",5,5,"1.000"
"POR","2026-01",4,4,"1.000"
"POR","2026-02",10,10,"1.000"
"POR","2026-03",3,2,"0.667"
"POR","2026-04",10,6,"0.600"
"POR","2026-05",6,3,"0.500"
"SA","2023-09",4,3,"0.750"
"SA","2023-10",6,4,"0.667"
"SA","2023-11",4,3,"0.750"
"SA","2023-12",9,7,"0.778"
"SA","2024-01",6,5,"0.833"
"SA","2024-02",7,5,"0.714"
"SA","2024-03",5,3,"0.600"
"SA","2024-04",14,8,"0.571"
"SA","2024-05",9,5,"0.556"
"SA","2024-09",4,4,"1.000"
"SA","2024-10",8,6,"0.750"
"SA","2024-11",9,8,"0.889"
"SA","2024-12",8,5,"0.625"
"SA","2025-01",6,4,"0.667"
"SA","2025-02",7,5,"0.714"
"SA","2025-03",9,6,"0.667"
"SA","2025-04",8,6,"0.750"
"SA","2025-05",6,3,"0.500"
"SA","2025-10",7,4,"0.571"
"SA","2025-11",6,3,"0.500"
"SA","2025-12",2,0,"0.000"
"SA","2026-01",14,9,"0.643"
"SA","2026-02",8,5,"0.625"
"SA","2026-03",10,7,"0.700"
"SA","2026-04",8,5,"0.625"
"SA","2026-05",1,1,"1.000"
"SP2","2023-09",1,0,"0.000"
"SP2","2023-10",2,1,"0.500"
"SP2","2023-11",1,0,"0.000"
"SP2","2023-12",2,2,"1.000"
"SP2","2024-03",2,2,"1.000"
"SP2","2024-05",1,1,"1.000"
"SP2","2024-09",3,0,"0.000"
"SP2","2024-10",3,1,"0.333"
"SP2","2024-11",5,4,"0.800"
"SP2","2024-12",8,5,"0.625"
"SP2","2025-01",3,2,"0.667"
"SP2","2025-02",8,4,"0.500"
"SP2","2025-03",8,7,"0.875"
"SP2","2025-04",6,6,"1.000"
"SP2","2025-05",2,1,"0.500"
"SP2","2025-09",1,0,"0.000"
"SP2","2025-10",2,2,"1.000"
"SP2","2025-12",2,1,"0.500"
"SP2","2026-01",2,2,"1.000"
"SP2","2026-02",2,2,"1.000"
"SP2","2026-03",2,1,"0.500"
"SP2","2026-04",5,5,"1.000"
"SP2","2026-05",4,2,"0.500"
"SRB1","2023-09",4,4,"1.000"
"SRB1","2023-10",3,2,"0.667"
"SRB1","2023-11",4,2,"0.500"
"SRB1","2023-12",6,4,"0.667"
"SRB1","2024-02",4,3,"0.750"
"SRB1","2024-03",5,4,"0.800"
"SRB1","2024-04",6,5,"0.833"
"SRB1","2024-05",7,6,"0.857"
"SRB1","2024-09",4,4,"1.000"
"SRB1","2024-10",4,3,"0.750"
"SRB1","2024-11",8,3,"0.375"
"SRB1","2024-12",3,3,"1.000"
"SRB1","2025-02",7,2,"0.286"
"SRB1","2025-03",3,2,"0.667"
"SRB1","2025-04",2,1,"0.500"
"SRB1","2025-05",1,1,"1.000"
"SRB1","2025-08",2,1,"0.500"
"SRB1","2025-09",2,2,"1.000"
"SRB1","2025-10",3,3,"1.000"
"SRB1","2025-11",8,2,"0.250"
"SRB1","2025-12",1,1,"1.000"
"SRB1","2026-02",4,3,"0.750"
"SRB1","2026-03",5,4,"0.800"
"SRB1","2026-04",6,3,"0.500"
"SRB1","2026-05",2,0,"0.000"
"SUI1","2023-09",2,2,"1.000"
"SUI1","2023-10",3,2,"0.667"
"SUI1","2023-11",2,2,"1.000"
"SUI1","2023-12",5,2,"0.400"
"SUI1","2024-01",3,1,"0.333"
"SUI1","2024-02",2,2,"1.000"
"SUI1","2024-04",1,0,"0.000"
"SUI1","2024-05",2,1,"0.500"
"SUI1","2024-09",1,1,"1.000"
"SUI1","2024-10",2,0,"0.000"
"SUI1","2024-11",2,2,"1.000"
"SUI1","2024-12",3,1,"0.333"
"SUI1","2025-01",1,0,"0.000"
"SUI1","2025-02",4,4,"1.000"
"SUI1","2025-03",2,1,"0.500"
"SUI1","2025-04",2,1,"0.500"
"SUI1","2025-05",1,1,"1.000"
"SUI1","2025-09",1,0,"0.000"
"SUI1","2025-10",2,2,"1.000"
"SUI1","2025-11",1,1,"1.000"
"SUI1","2025-12",1,0,"0.000"
"SUI1","2026-01",2,2,"1.000"
"SUI1","2026-02",3,3,"1.000"
"SUI1","2026-03",3,1,"0.333"
"SUI1","2026-04",2,2,"1.000"
"SWE1","2023-05",7,6,"0.857"
"SWE1","2023-06",3,2,"0.667"
"SWE1","2023-07",7,3,"0.429"
"SWE1","2023-08",4,3,"0.750"
"SWE1","2023-09",3,2,"0.667"
"SWE1","2023-10",6,5,"0.833"
"SWE1","2023-11",3,2,"0.667"
"SWE1","2024-04",3,2,"0.667"
"SWE1","2024-05",6,3,"0.500"
"SWE1","2024-06",2,0,"0.000"
"SWE1","2024-07",2,1,"0.500"
"SWE1","2024-08",6,2,"0.333"
"SWE1","2024-09",2,1,"0.500"
"SWE1","2024-10",3,2,"0.667"
"SWE1","2024-11",1,1,"1.000"
"SWE1","2025-04",1,0,"0.000"
"SWE1","2025-05",7,3,"0.429"
"SWE1","2025-06",2,2,"1.000"
"SWE1","2025-07",6,4,"0.667"
"SWE1","2025-08",7,3,"0.429"
"SWE1","2025-09",2,0,"0.000"
"SWE1","2025-10",3,3,"1.000"
"SWE1","2025-11",5,4,"0.800"
"TUR1","2023-09",3,3,"1.000"
"TUR1","2023-10",8,7,"0.875"
"TUR1","2023-11",4,3,"0.750"
"TUR1","2023-12",5,3,"0.600"
"TUR1","2024-01",7,5,"0.714"
"TUR1","2024-02",6,3,"0.500"
"TUR1","2024-03",2,2,"1.000"
"TUR1","2024-04",4,4,"1.000"
"TUR1","2024-05",4,4,"1.000"
"TUR1","2024-09",1,0,"0.000"
"TUR1","2024-10",4,3,"0.750"
"TUR1","2024-11",5,3,"0.600"
"TUR1","2024-12",5,4,"0.800"
"TUR1","2025-01",6,5,"0.833"
"TUR1","2025-02",5,2,"0.400"
"TUR1","2025-03",7,4,"0.571"
"TUR1","2025-04",2,2,"1.000"
"TUR1","2025-05",6,4,"0.667"
"TUR1","2025-09",1,1,"1.000"
"TUR1","2025-10",6,3,"0.500"
"TUR1","2025-11",4,3,"0.750"
"TUR1","2025-12",2,2,"1.000"
"TUR1","2026-01",7,5,"0.714"
"TUR1","2026-02",8,6,"0.750"
"TUR1","2026-03",3,2,"0.667"
"TUR1","2026-04",3,1,"0.333"
"TUR1","2026-05",2,1,"0.500"
"TUR2","2023-09",2,1,"0.500"
"TUR2","2023-10",1,0,"0.000"
"TUR2","2023-11",6,4,"0.667"
"TUR2","2023-12",8,6,"0.750"
"TUR2","2024-01",4,4,"1.000"
"TUR2","2024-02",7,5,"0.714"
"TUR2","2024-03",3,2,"0.667"
"TUR2","2024-04",6,4,"0.667"
"TUR2","2024-05",2,1,"0.500"
"TUR2","2024-09",2,1,"0.500"
"TUR2","2024-10",1,1,"1.000"
"TUR2","2024-11",3,3,"1.000"
"TUR2","2024-12",2,2,"1.000"
"TUR2","2025-01",2,2,"1.000"
"TUR2","2025-02",3,3,"1.000"
"TUR2","2025-03",2,2,"1.000"
"TUR2","2025-04",3,3,"1.000"
"TUR2","2025-05",2,2,"1.000"
"TUR2","2025-09",4,2,"0.500"
"TUR2","2025-10",4,3,"0.750"
"TUR2","2025-11",7,6,"0.857"
"TUR2","2025-12",5,4,"0.800"
"TUR2","2026-01",4,4,"1.000"
"TUR2","2026-02",10,8,"0.800"
"TUR2","2026-03",10,8,"0.800"
"TUR2","2026-04",8,5,"0.625"
"TUR2","2026-05",1,1,"1.000"
"UCL","2023-09",3,2,"0.667"
"UCL","2023-10",3,2,"0.667"
"UCL","2023-11",7,3,"0.429"
"UCL","2023-12",1,0,"0.000"
"UCL","2024-03",2,2,"1.000"
"UCL","2024-07",4,3,"0.750"
"UCL","2024-08",4,1,"0.250"
"UCL","2024-09",6,5,"0.833"
"UCL","2024-10",8,6,"0.750"
"UCL","2024-11",8,6,"0.750"
"UCL","2024-12",4,1,"0.250"
"UCL","2025-01",10,9,"0.900"
"UCL","2025-02",2,1,"0.500"
"UCL","2025-03",1,1,"1.000"
"UCL","2025-04",1,1,"1.000"
"UCL","2025-07",2,0,"0.000"
"UCL","2025-08",8,3,"0.375"
"UCL","2025-09",4,2,"0.500"
"UCL","2025-10",2,2,"1.000"
"UCL","2025-11",6,4,"0.667"
"UCL","2025-12",3,2,"0.667"
"UCL","2026-01",5,5,"1.000"
"UCL","2026-02",3,2,"0.667"
"UCL","2026-03",2,2,"1.000"
"UCL","2026-04",1,0,"0.000"
"UECL","2023-07",1,1,"1.000"
"UECL","2023-08",7,4,"0.571"
"UECL","2023-09",2,2,"1.000"
"UECL","2023-10",8,6,"0.750"
"UECL","2023-11",10,7,"0.700"
"UECL","2023-12",5,4,"0.800"
"UECL","2024-02",1,0,"0.000"
"UECL","2024-03",3,1,"0.333"
"UECL","2024-08",4,2,"0.500"
"UECL","2024-10",4,4,"1.000"
"UECL","2024-11",7,5,"0.714"
"UECL","2024-12",7,5,"0.714"
"UECL","2025-02",3,1,"0.333"
"UECL","2025-03",2,2,"1.000"
"UECL","2025-07",3,2,"0.667"
"UECL","2025-08",7,2,"0.286"
"UECL","2025-10",4,3,"0.750"
"UECL","2025-11",6,5,"0.833"
"UECL","2025-12",5,2,"0.400"
"UECL","2026-02",1,1,"1.000"
"UEL","2023-08",1,1,"1.000"
"UEL","2023-09",1,1,"1.000"
"UEL","2023-10",3,1,"0.333"
"UEL","2023-11",1,1,"1.000"
"UEL","2023-12",1,1,"1.000"
"UEL","2024-08",5,3,"0.600"
"UEL","2024-09",4,2,"0.500"
"UEL","2024-10",3,2,"0.667"
"UEL","2024-11",4,1,"0.250"
"UEL","2025-02",1,0,"0.000"
"UEL","2025-07",6,4,"0.667"
"UEL","2025-08",4,3,"0.750"
"UEL","2025-09",1,1,"1.000"
"UEL","2025-10",3,2,"0.667"
"UEL","2025-11",2,2,"1.000"
"UEL","2025-12",1,1,"1.000"
"UEL","2026-01",2,2,"1.000"